tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Anthropology,4919,University of Toronto at Scarborough,Lena,,Mortensen,972202,6,good,TEACHER,PROFESSOR,3.8
Languages,4919,University of Toronto at Scarborough,Francoise,,Mugnier,795494,13,average,TEACHER,PROFESSOR,2.8
Sociology,4919,University of Toronto at Scarborough,Ann,,Mullen,297311,32,average,TEACHER,PROFESSOR,3.3
English,4919,University of Toronto at Scarborough,Katie,,Mullins,1832080,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,4919,University of Toronto at Scarborough,Maureen,,Murney,1978402,11,good,TEACHER,PROFESSOR,3.5
Health Science,4919,University of Toronto at Scarborough,Maureen,,Murphy,2106454,0,zero,TEACHER,PROFESSOR,N/A
English,4919,University of Toronto at Scarborough,Nathan,,Murray,2161581,7,average,TEACHER,PROFESSOR,2.6
Psychology,4919,University of Toronto at Scarborough,Anna,,Nagy,1002689,36,average,TEACHER,PROFESSOR,3.4
Linguistics,4919,University of Toronto at Scarborough,Chandan,,Narayan,1154022,37,good,TEACHER,PROFESSOR,3.9
Geography,4919,University of Toronto at Scarborough,Rajyashree,,Narayanareddy,1683077,19,poor,TEACHER,PROFESSOR,2.5
Anthropology,4919,University of Toronto at Scarborough,Mariam,,Nargolwalla,946396,3,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Joanne,,Nash,2269693,6,poor,TEACHER,PROFESSOR,1.5
Languages,4919,University of Toronto at Scarborough,Juvenal,,Ndayiragije,376397,13,good,TEACHER,PROFESSOR,3.7
Classics,4919,University of Toronto at Scarborough,Jaclyn,,Neel,1478521,2,average,TEACHER,PROFESSOR,2.5
Philosophy,4919,University of Toronto at Scarborough,Julia,,Nefsky,2261541,3,good,TEACHER,PROFESSOR,4.3
History,4919,University of Toronto at Scarborough,William,,Nelson,1684280,11,good,TEACHER,PROFESSOR,4.0
Languages,4919,University of Toronto at Scarborough,Linda,,Ness,1181999,4,good,TEACHER,PROFESSOR,4.8
Psychology,4919,University of Toronto at Scarborough,Adrian,,Nestor,1891839,12,average,TEACHER,PROFESSOR,2.8
Women's Studies,4919,University of Toronto at Scarborough,Zoe,,Newman,511893,9,average,TEACHER,PROFESSOR,3.4
Psychology,4919,University of Toronto at Scarborough,Matthias,,Niemeier,452347,59,good,TEACHER,PROFESSOR,3.7
English,4919,University of Toronto at Scarborough,Sonja,,Nikkila,1282147,35,good,TEACHER,PROFESSOR,4.3
Biological Sciences,4919,University of Toronto at Scarborough,Pria,,Nippak,1127190,1,poor,TEACHER,PROFESSOR,1.0
Computer Science,4919,University of Toronto at Scarborough,Naureen,,Nizam,2416607,3,average,TEACHER,PROFESSOR,3.3
Political Science,4919,University of Toronto at Scarborough,Carla,,Norrlof,516691,20,poor,TEACHER,PROFESSOR,2.3
Biological Sciences,4919,University of Toronto at Scarborough,Hossein,,Noyan,2539213,0,zero,TEACHER,PROFESSOR,N/A
