tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Biology,1484,University of Toronto - St. George Campus,Juana,Maria,Gonzalez-Santos,2454331,2,good,TEACHER,PROFESSOR,4.5
Physical Ed,1484,University of Toronto - St. George Campus,Jack,,Goodman,44104,18,average,TEACHER,PROFESSOR,2.7
Religion,1484,University of Toronto - St. George Campus,Amanda,,Goodman,1117409,15,average,TEACHER,PROFESSOR,3.3
Health Science,1484,University of Toronto - St. George Campus,Michael,,Goodstadt,1436528,0,zero,TEACHER,PROFESSOR,N/A
Geography,1484,University of Toronto - St. George Campus,Kanishka,,Goonewardena,38661,14,average,TEACHER,PROFESSOR,3.3
Spanish,1484,University of Toronto - St. George Campus,Estefania Elsi,,Gordo-Garcia,2246961,1,good,TEACHER,PROFESSOR,4.0
Not Specified,1484,University of Toronto - St. George Campus,Todd,,Gordon,1070946,3,good,TEACHER,PROFESSOR,3.8
Biology,1484,University of Toronto - St. George Campus,Daphne,,Goring,823979,8,average,TEACHER,PROFESSOR,3.2
Art History,1484,University of Toronto - St. George Campus,Marc,,Gotlieb,984002,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1484,University of Toronto - St. George Campus,James,,Gottlieb,688807,8,average,TEACHER,PROFESSOR,3.4
Mathematics,1484,University of Toronto - St. George Campus,Gerald,,Gottsbacher,1052834,10,good,TEACHER,PROFESSOR,3.8
Electrical Engineering,1484,University of Toronto - St. George Campus,Maziar,,Goudarzi,2552856,0,zero,TEACHER,PROFESSOR,N/A
Geography,1484,University of Toronto - St. George Campus,William,,Gough,101372,5,good,TEACHER,PROFESSOR,4.0
Music,1484,University of Toronto - St. George Campus,Elizabeth,,Gould,109719,5,average,TEACHER,PROFESSOR,3.2
Civil Engineering,1484,University of Toronto - St. George Campus,Murray,,Grabinsky,156699,11,good,TEACHER,PROFESSOR,3.6
Mathematics,1484,University of Toronto - St. George Campus,Alfonso,,Gracia-Saz,1028323,77,good,TEACHER,PROFESSOR,4.0
